registry_id,page_id,title,route,binding_mode,source_csv,source_filename,source_rows_total,preview_row_count,sync_direction,write_allowed,read_live_allowed_now,requires_future_explicit_go
P148-SOURCE-001,run_prompt_run_queue,🚀 PROMPT_RUN_QUEUE,/cockpit/run_prompt_run_queue,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P120_GEM_RESPONSE_DECISION_JOURNAL_BRIDGE_20260622_140755\P120_DECISION_JOURNAL_ENTRY.csv,P120_DECISION_JOURNAL_ENTRY.csv,1,1,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-002,ready_prompt_ready_to_copy,🧩 PROMPT_READY_TO_COPY,/cockpit/ready_prompt_ready_to_copy,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P138C_R9_CUSTOM_OAUTH_CLIENT_SAFE_WRITE_20260623_113901\P138C_BACKUP___PROMPT_LIBRARY.csv,P138C_BACKUP___PROMPT_LIBRARY.csv,22,22,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-003,context_prompt_context_packs,🧠 PROMPT_CONTEXT_PACKS,/cockpit/context_prompt_context_packs,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P138C_R9_CUSTOM_OAUTH_CLIENT_SAFE_WRITE_20260623_113901\P138C_BACKUP___PROMPT_LIBRARY.csv,P138C_BACKUP___PROMPT_LIBRARY.csv,22,22,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-004,bridge_prompt_lexique_bridge,🔗 PROMPT_LEXIQUE_BRIDGE,/cockpit/bridge_prompt_lexique_bridge,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P138C_R9_CUSTOM_OAUTH_CLIENT_SAFE_WRITE_20260623_113901\P138C_BACKUP___PROMPT_LIBRARY.csv,P138C_BACKUP___PROMPT_LIBRARY.csv,22,22,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-005,control_prompt_variant_control_center,🎛️ PROMPT_VARIANT_CONTROL_CENTER,/cockpit/control_prompt_variant_control_center,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P138C_R9_CUSTOM_OAUTH_CLIENT_SAFE_WRITE_20260623_113901\P138C_BACKUP___PROMPT_LIBRARY.csv,P138C_BACKUP___PROMPT_LIBRARY.csv,22,22,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-006,gpt_prompt_runtime_spec,GPT_PROMPT_RUNTIME_SPEC,/cockpit/gpt_prompt_runtime_spec,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P138C_R1_UTF8_CLI_OUTPUT_FIX_SAFE_WRITE_20260623_095940\P138C_HYDRATED_SAFE_CANDIDATES.csv,P138C_HYDRATED_SAFE_CANDIDATES.csv,9,9,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-007,library_prompt_library,📘 PROMPT_LIBRARY,/cockpit/library_prompt_library,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P138C_R9_CUSTOM_OAUTH_CLIENT_SAFE_WRITE_20260623_113901\P138C_BACKUP___PROMPT_LIBRARY.csv,P138C_BACKUP___PROMPT_LIBRARY.csv,22,22,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-008,output_templates,OUTPUT_TEMPLATES,/cockpit/output_templates,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P139_R1_GCLOUD_PS_TOKEN_BRIDGE_20260623_115113\P139_SHEET_UI_METADATA.csv,P139_SHEET_UI_METADATA.csv,132,25,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-009,data_requirements,DATA_REQUIREMENTS,/cockpit/data_requirements,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P079D_CONTROLLED_REVIEW_DECISION_PACK_READONLY_20260620_210424\P079D_DOMAIN_DECISION_PACK.csv,P079D_DOMAIN_DECISION_PACK.csv,8,8,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-010,runtime_ai_runtime_reference,🤖 AI_RUNTIME_REFERENCE,/cockpit/runtime_ai_runtime_reference,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P138C_R9_CUSTOM_OAUTH_CLIENT_SAFE_WRITE_20260623_113901\P138C_BACKUP___PROMPT_LIBRARY.csv,P138C_BACKUP___PROMPT_LIBRARY.csv,22,22,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
P148-SOURCE-011,qaic_output_contract,QAIC_OUTPUT_CONTRACT,/cockpit/qaic_output_contract,csv_match,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P079B_HUMAN_REVIEW_WORKING_COPY_READONLY_20260620_194923\P079B_FIELD_REVIEW_WORKING_COPY.csv,P079B_FIELD_REVIEW_WORKING_COPY.csv,79,25,SHEETS_TO_LOCAL_SNAPSHOT,False,False,True
