prompt_source_id,label,source_family,source_origin,runtime_profile,status,allowed_for_p152,expected_input,expected_output,required_markers,notes
P132_P133_PORTFOLIO_MULTIMODAL_REVIEW,P132/P133 — Portfolio multimodal Revolut X,MVP_QAIC_PY_ACTIVE,P132_P133_MULTIMODAL_PROMPT,GEM_MULTIMODAL_PORTFOLIO_REVIEW,ACTIVE_FOR_P152_REAL_GEM,True,Capture écran portefeuille crypto/Revolut X + texte optionnel,JSON review-only avec extraction portfolio,"REVIEW_REQUIRED,human_review_required,no_order_no_sizing,NO_AUTO_APPLY",Référence prioritaire pour le prochain import réel P152.
HIST_SHEETS_001_PROMPT_LIBRARY,📘 PROMPT_LIBRARY,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,prompt_library,HISTORICAL_REFERENCE_ONLY,False,Choisir un prompt validé et consulter son contenu source.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_002_VARIANT_CONTROL,🎛️ PROMPT_VARIANT_CONTROL_CENTER,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,variant_control,HISTORICAL_REFERENCE_ONLY,False,Comparer les variantes actives et sélectionner la variante utile au test.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_003_CONTEXT_PACK,🧠 PROMPT_CONTEXT_PACKS,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,context_pack,HISTORICAL_REFERENCE_ONLY,False,Attacher un contexte métier au prompt avant copie.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_004_LEXIQUE_BRIDGE,🔗 PROMPT_LEXIQUE_BRIDGE,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,lexique_bridge,HISTORICAL_REFERENCE_ONLY,False,Relier le prompt aux termes/méthodes du lexique.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_005_READY_TO_COPY,🧩 PROMPT_READY_TO_COPY,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,ready_to_copy,HISTORICAL_REFERENCE_ONLY,False,Préparer le prompt final copiable dans GEM/ChatGPT.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_006_RUN_QUEUE,🚀 PROMPT_RUN_QUEUE,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,run_queue,HISTORICAL_REFERENCE_ONLY,False,Voir les prompts à tester et leur statut opérateur.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_007_CONTRACT_REFERENCE,DATA_REQUIREMENTS,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,contract_reference,HISTORICAL_REFERENCE_ONLY,False,Consulter les contrats/références nécessaires au workflow.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_008_CONTRACT_REFERENCE,GPT_PROMPT_RUNTIME_SPEC,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,contract_reference,HISTORICAL_REFERENCE_ONLY,False,Consulter les contrats/références nécessaires au workflow.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_009_CONTRACT_REFERENCE,OUTPUT_TEMPLATES,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,contract_reference,HISTORICAL_REFERENCE_ONLY,False,Consulter les contrats/références nécessaires au workflow.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_010_CONTRACT_REFERENCE,QAIC_OUTPUT_CONTRACT,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,contract_reference,HISTORICAL_REFERENCE_ONLY,False,Consulter les contrats/références nécessaires au workflow.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
HIST_SHEETS_011_CONTRACT_REFERENCE,🤖 AI_RUNTIME_REFERENCE,SHEETS_HISTORICAL_REFERENCE,P144_WORKFLOW_MODEL_FROM_SHEETS_MIGRATION,contract_reference,HISTORICAL_REFERENCE_ONLY,False,Consulter les contrats/références nécessaires au workflow.,À contractualiser avant import P152,À définir,Ne pas utiliser pour P152 tant que le contrat JSON/safety n'est pas validé.
