script_file_name,module_family,detected_version,file_size_bytes,line_count,char_count,public_function_count,internal_function_count,total_function_count,risk_hit_count,calls_spreadsheet,writes_sheet_likely,calls_drive,calls_trigger,calls_properties,python_target_package,migration_action
appsscript.json,MANIFEST,,347,18,347,0,0,0,0,NO,NO,NO,NO,NO,mvp_qaic_py.manifest,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,MVP_QAIC_APPS_SCRIPT_P0B_0.2.2,8054,125,8017,7,1,8,4,YES,YES,NO,NO,NO,mvp_qaic_py.setup,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,MVP_QAIC_APPS_SCRIPT_P0B_0.2.2,6288,88,6280,12,0,12,0,YES,NO,NO,NO,NO,mvp_qaic_py.knowledge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_02_formatting.js,FORMATTING,MVP_QAIC_APPS_SCRIPT_P0B_0.2.2,3855,69,3836,4,1,5,0,YES,NO,NO,NO,NO,mvp_qaic_py.formatting,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_03_import_csv_seeds.js,IMPORT_SEEDS,MVP_QAIC_APPS_SCRIPT_P0B_0.2.2,3264,67,3248,3,0,3,3,YES,YES,YES,NO,NO,mvp_qaic_py.ingestion,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,MVP_QAIC_P0B2_KB_EXPANSION_0.2.4_HOTFIX_IMPORT_DEFAULT_FOLDER_SAFE,15112,537,15095,19,0,19,7,YES,YES,YES,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,MVP_QAIC_P0B3_INSTITUTIONAL_READINESS_0.2.5,16322,534,16300,19,0,19,8,YES,YES,YES,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVP_QAIC_P0B4_GPT_REVOLUTX_READONLY_BRIDGE_0.2.8_HOTFIX_QAIC_SCORING_SIGNAL_PROMPT_GUARD,30631,871,30539,30,0,30,10,YES,YES,YES,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,MVP_QAIC_P0B5_TRADE_PLAN_METHODS_TRAILING_0.2.10_HOTFIX_DEFAULT_CSV_FOLDER_ID_SAFE,23885,690,23823,21,0,21,8,YES,YES,YES,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_08_full_signal_mapping_50_50.js,QAIC_BRIDGE,MVP_QAIC_FULL_SIGNAL_MAPPING_0.2.11_50_50,91459,2356,91422,6,0,6,7,YES,YES,NO,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_09_p1_journal_core.js,JOURNAL,MVP_QAIC_P1_JOURNAL_CORE_0.4.6_SAFE_CONSOLIDATED,112623,3089,112543,75,0,75,7,YES,YES,NO,NO,NO,mvp_qaic_py.journal,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,MVP_QAIC_P4H_WORKFLOW_CONTROL_CENTER_BATCH_MAXI_1.6.11_OUTPUT_CONTRACT_HARDENING_SAFE,697313,13519,695403,402,345,747,109,YES,YES,NO,NO,NO,mvp_qaic_py.prompt_engine,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_20_script_registry_maintenance_core.js,SCRIPT_REGISTRY,MVP_QAIC_SCRIPT_REGISTRY_MAINTENANCE_CORE_0.1.5_DRIVE_CSV_IMPORT_SAFE,42762,971,42695,10,35,45,23,YES,YES,YES,NO,YES,mvp_qaic_py.registry,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_21_sheet_inventory_cross_audit_core.js,AUDIT_INVENTORY,MVP_QAIC_SHEET_INVENTORY_CROSS_AUDIT_CORE_0.7.0_SAFE,33122,799,33088,6,31,37,3,YES,YES,NO,NO,NO,mvp_qaic_py.audit,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_22_frontend_sheet_rename_migration_core.js,QAIC_BRIDGE,MVP_QAIC_FRONTEND_SHEET_RENAME_MIGRATION_CORE_0.1.0_SAFE_STANDALONE,8832,205,8810,4,7,11,0,YES,NO,NO,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_23_gpt_response_intake_core.js,QAIC_BRIDGE,MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE,888909,17378,886727,765,102,867,149,YES,YES,YES,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_31_lexique_master_search_cockpit_core.js,KNOWLEDGE_SEARCH,MVP_QAIC_LEXIQUE_MASTER_SEARCH_COCKPIT_CORE_0.9.3_EXISTING_ROW_UPDATES_REVIEW_SAFE,207608,4596,207274,71,127,198,26,YES,YES,NO,NO,NO,mvp_qaic_py.knowledge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_41_phase4_closure_cdc_tracker_core.js,QAIC_BRIDGE,MVP_QAIC_P4S_FINAL_COUNTER_HARMONIZATION_1.9.8_SAFE,212480,4568,212268,131,55,186,29,YES,YES,NO,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVP_QAIC_P4O_RESPONSE_INTAKE_CONSOLIDATION_AUDIT_MAXI_2.0.0_SAFE,26395,580,26257,25,1,26,3,YES,YES,NO,NO,NO,mvp_qaic_py.audit,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_50_p5_webapp_readiness_core.js,QAIC_BRIDGE,MVP_QAIC_P5O_FULL_SOURCE_MERGE_FROM_P5N_ORIGINAL_0.3.1_SAFE_HUMAN_ONLY_NO_API_NO_TRUNCATION,386373,8306,385901,374,13,387,78,YES,YES,NO,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_90_webapp_entrypoint.js,QAIC_BRIDGE,MVP_QAIC_P44_DYNAMIC_WEBAPP_ENTRYPOINT_1_0_0_LABEL_CLEANUP,883,31,872,0,1,1,0,NO,NO,NO,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
mvpqaic_91_webapp_sheets_sync.js,QAIC_BRIDGE,MVP_QAIC_P47B4_MASTER_SUMMARY_FIELD_FIX_1_0_3,25326,699,25257,6,29,35,0,YES,NO,NO,NO,NO,mvp_qaic_py.bridge,RECOVER_TO_PYTHON_READONLY_FIRST
