priority,layer_id,expected_sheet_tab,operator_status,runtime_status,binding_percent,operator_action,local_path,nicegui_route,python_handler,evidence_summary,purpose
3,GEM_ROUNDTRIP,GEM_ROUNDTRIP_STATUS,REVIEW_EVIDENCE_TO_COMPLETE,BOUND_PARTIAL,85,ADD_ROUNDTRIP_STATUS_EXPORT_OR_BIND_EXISTING_EVIDENCE,05_EXPORTS,/roundtrip,p185/p186 roundtrip,path_exists=True; files=0; route=True; handler=BOUND; binding=85%,Valider le cycle capture → prompt → réponse → review.
3,GEM_DECISION_JOURNAL,GEM_DECISION_JOURNAL,REVIEW_EVIDENCE_TO_COMPLETE,BOUND_PARTIAL,70,ADD_DECISION_JOURNAL_RUNTIME_EXPORT_OR_BIND_LOCAL_JOURNAL,05_EXPORTS,/review,decision journal bridge,path_exists=True; files=0; route=True; handler=PARTIAL_LOCAL_EXPORTS; binding=70%,Tracer les décisions humaines review-only.
9,GEM_CAPTURE_INBOX,GEM_CAPTURE_INBOX,OK_READY,BOUND_RUNTIME_VISIBLE,100,KEEP_TRACKING,00_OPERATOR_EXPORTS/P181_CAPTURE_INBOX,/capture,p181/p183 capture workflow,path_exists=True; files=2; route=True; handler=BOUND; binding=100%,Stocker les captures portfolio à traiter.
9,GEM_REAL_CASE_DECISION,GEM_REAL_CASE_DECISION,OK_READY,BOUND_RUNTIME_VISIBLE,100,KEEP_TRACKING,mvp_qaic_py/p188_real_case_ui_operator_decision_gate.py,/real-case,p188 real case UI gate,path_exists=True; files=1; route=True; handler=BOUND; binding=100%,Afficher WAITING_INPUTS ou READY_FOR_HUMAN_DECISION.
9,GEM_RESPONSE_INBOX,GEM_RESPONSE_INBOX,OK_READY,BOUND_RUNTIME_VISIBLE,100,KEEP_TRACKING,00_OPERATOR_EXPORTS/P181_GEM_RESPONSES,/responses,p184 parser,path_exists=True; files=2; route=True; handler=BOUND; binding=100%,Stocker les réponses GEM collées localement.
9,GEM_REVIEW_GATE,GEM_REVIEW_GATE,OK_READY,BOUND_RUNTIME_VISIBLE,100,KEEP_TRACKING,mvp_qaic_py/p187_real_manual_portfolio_case_review_gate.py,/review,p187 real manual gate,path_exists=True; files=1; route=True; handler=BOUND; binding=100%,Bloquer ou valider le passage en review humaine.
9,GEM_SESSION_LOG,GEM_SESSION_LOG,OK_READY,BOUND_RUNTIME_VISIBLE,100,KEEP_TRACKING,00_OPERATOR_EXPORTS/P181_SESSION_LOG,/sessions,p183 session linker,path_exists=True; files=5; route=True; handler=BOUND; binding=100%,"Relier capture, prompt, réponse et session."
9,PROMPT_HISTORY_LIBRARY,PROMPT_HISTORY_LIBRARY,OK_READY,BOUND_RUNTIME_VISIBLE,100,KEEP_TRACKING,mvp_qaic_py/p182_prompt_history_library_version_studio.py,/prompt,p182 prompt library,path_exists=True; files=1; route=True; handler=BOUND; binding=100%,"Suivre prompt actif, historiques et références."
9,PROMPT_MIGRATION_MATRIX,PROMPT_MIGRATION_MATRIX,OK_READY,BOUND_RUNTIME_VISIBLE,100,KEEP_TRACKING,mvp_qaic_py/p189h_historical_prompt_quality_audit.py,/migration,p189h historical audit,path_exists=True; files=1; route=True; handler=BOUND; binding=100%,Qualifier les prompts historiques: merge/archive/reject/review.
9,RUNTIME_MIGRATION_TRACKER,RUNTIME_MIGRATION_TRACKER,OK_READY,BOUND_RUNTIME_VISIBLE,100,KEEP_TRACKING,mvp_qaic_py/p190r_runtime_migration_tracker_live_readonly.py,/migration,p190r runtime tracker,path_exists=True; files=1; route=True; handler=BOUND; binding=100%,Suivre migration onglets/scripts/fonctions/Python/routes.
