status,source_path,archive_path,name,error
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_P27D11A_CONTENT_ENRICHMENT_REVIEW_PACK_20260618_160310.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVP_QAIC_P27D11A_CONTENT_ENRICHMENT_REVIEW_PACK_20260618_160310.zip,MVP_QAIC_P27D11A_CONTENT_ENRICHMENT_REVIEW_PACK_20260618_160310.zip,
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_P27D11B_CONTENT_WORKBENCH_LOCAL_ONLY_20260618_161255.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVP_QAIC_P27D11B_CONTENT_WORKBENCH_LOCAL_ONLY_20260618_161255.zip,MVP_QAIC_P27D11B_CONTENT_WORKBENCH_LOCAL_ONLY_20260618_161255.zip,
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_P27D11C_FIRST_10_TERMS_DRAFT_20260618_162307.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVP_QAIC_P27D11C_FIRST_10_TERMS_DRAFT_20260618_162307.zip,MVP_QAIC_P27D11C_FIRST_10_TERMS_DRAFT_20260618_162307.zip,
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_P27D11D_HUMAN_REVIEW_FIRST_10_20260618_163009.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVP_QAIC_P27D11D_HUMAN_REVIEW_FIRST_10_20260618_163009.zip,MVP_QAIC_P27D11D_HUMAN_REVIEW_FIRST_10_20260618_163009.zip,
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_P27D11E_REVISED_FIRST_10_DRAFTS_20260618_164534.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVP_QAIC_P27D11E_REVISED_FIRST_10_DRAFTS_20260618_164534.zip,MVP_QAIC_P27D11E_REVISED_FIRST_10_DRAFTS_20260618_164534.zip,
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_P27D11F_TO_P27D14_MAXI_20260618_165756.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVP_QAIC_P27D11F_TO_P27D14_MAXI_20260618_165756.zip,MVP_QAIC_P27D11F_TO_P27D14_MAXI_20260618_165756.zip,
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_P28_MAXI_CONTENT_EXTENSION_20260618_170936.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVP_QAIC_P28_MAXI_CONTENT_EXTENSION_20260618_170936.zip,MVP_QAIC_P28_MAXI_CONTENT_EXTENSION_20260618_170936.zip,
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_P29A_HUMAN_REVIEW_WORKBENCH_P28_MAXI_20260618_171207.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVP_QAIC_P29A_HUMAN_REVIEW_WORKBENCH_P28_MAXI_20260618_171207.zip,MVP_QAIC_P29A_HUMAN_REVIEW_WORKBENCH_P28_MAXI_20260618_171207.zip,
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_P29B_TO_P29E_MAXI_20260618_171905.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVP_QAIC_P29B_TO_P29E_MAXI_20260618_171905.zip,MVP_QAIC_P29B_TO_P29E_MAXI_20260618_171905.zip,
MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVPQAIC_CLASP_GIT_EXPORT_ALLINONE_0.1.7_REAUTH_PULL_VALIDATE_BACKUP.ps1,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005\MVPQAIC_CLASP_GIT_EXPORT_ALLINONE_0.1.7_REAUTH_PULL_VALIDATE_BACKUP.ps1,MVPQAIC_CLASP_GIT_EXPORT_ALLINONE_0.1.7_REAUTH_PULL_VALIDATE_BACKUP.ps1,
