relative_path,name,suffix,bytes,sha256,error
architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,.md,44769,4f9f6dfd09190b5dca3b0af20d8b0e2492ed9f87c0d8bfd5a1b7854b1d83460c,
desktop.ini,desktop.ini,.ini,246,b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0,
lexique_crypto_methodes_signaux_trading_pro.md,lexique_crypto_methodes_signaux_trading_pro.md,.md,28204,325e7d0857f8a6ca90c79e87db0a74615379739c18aac0fa8040d17585ea2432,
Revolut X/desktop.ini,desktop.ini,.ini,246,b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0,
Revolut X/MVP QAIC — Mémo d’intégration Revolut X.pdf,MVP QAIC — Mémo d’intégration Revolut X.pdf,.pdf,235562,9bb61a5f3323cbb9298b1499cb70e9f0134f56349cdf365849d792fa6af35d76,
Revolut X/v25_00_reference_contract_crypto_alpha_ia.js,v25_00_reference_contract_crypto_alpha_ia.js,.js,377239,4d05cc6d4ae5578c79fc5d12e39606ead09ded82dbf3057e2f92227f7b20f8bf,
Revolut X/v25_17_portfolio_alpha_bridge.js,v25_17_portfolio_alpha_bridge.js,.js,53332,e106536144c4e9b572447c51779e4de152e1b31e58b236d0b88f88ae55f1e936,
Revolut X/v25_18_portfolio_master_v25_contract.js,v25_18_portfolio_master_v25_contract.js,.js,62285,b46a6b2065c64a889c12c5e3201e26bf56d33ecd6923f63ca3830dc29fbd7525,
Revolut X/v25_19_portfolio_master_v25_builder.js,v25_19_portfolio_master_v25_builder.js,.js,70494,72d1da4516b6d8e013f348015bfaf63aaac82e2ecd3f83c8dfa3286cfb505a54,
Revolut X/v25_20_portfolio_exposure_engine.js,v25_20_portfolio_exposure_engine.js,.js,52497,7c015378af7790d0342cb84bc64feb960f64230b779f2c165a78b95e352ed86e,
Revolut X/v25_21_portfolio_risk_decision_engine.js,v25_21_portfolio_risk_decision_engine.js,.js,60291,a6a185df12fbbf4f465a55877271e70e2fadb14a4a2555c229ae146c9c3dc7c2,
Revolut X/v25_22_portfolio_decision_control_center.js,v25_22_portfolio_decision_control_center.js,.js,53736,b913e562ba03d9de23778b6d85d56707958e9b747726e48de0fcec274ce2c996,
Revolut X/v25_23_portfolio_execution_queue.js,v25_23_portfolio_execution_queue.js,.js,43830,4aee5bb60237d1a447d085dbd3e6d5f3a27e552766e2b6b715e4b58a01044060,
Revolut X/v25_24_portfolio_pre_trade_guard.js,v25_24_portfolio_pre_trade_guard.js,.js,36200,c860c436ee2d4eab5252384636a0c2a9b4ae99c6e25b8ebd3fea4354743ba88f,
Revolut X/v25_25_manual_order_ticket_builder.js,v25_25_manual_order_ticket_builder.js,.js,63061,fdb0ea18c9bbdc1c07c7bac3d89e1e6d8a68006ba10c31ddf17f1c94c6c637e6,
Revolut X/v25_26_manual_order_lifecycle_tracker.js,v25_26_manual_order_lifecycle_tracker.js,.js,36903,6e4753739c4afe5cd6c3e9b6abd31e58bbc7da2157ed615fe44305106da72007,
Revolut X/v25_28_order_log_v25_builder.js,v25_28_order_log_v25_builder.js,.js,17774,0ded135b27b7fa39a6974f83891c72bf0b5931e2eadbd4c109254c7e8b0b28dd,
Revolut X/v25_29_revolut_api_readiness_contract.js,v25_29_revolut_api_readiness_contract.js,.js,64775,05a64dca191621d9db3d04ca7bf72afaaca24a6d15f0b7a2dcaa8a01042805a2,
Revolut X/v25_30_revolut_x_readonly_connector.js,v25_30_revolut_x_readonly_connector.js,.js,249728,4c67696ef7cdc82b5f03b063854191f0340a0a723954798d1afd64957af8e364,
Revolut X/v25_31_revolut_fiscal_ledger_builder.js,v25_31_revolut_fiscal_ledger_builder.js,.js,41086,a7f0e2f198f67311fc76ba1b925d848839837e0627b1429b50e7dc17bf637aef,
Revolut X/v25_31_revolut_fiscal_ledger_builder.zip,v25_31_revolut_fiscal_ledger_builder.zip,.zip,315976,4d7f72f36e76b4f85dd18fa2fbb57ffe1c88feb6d30119ff773349d27e86c68d,
Revolut X/v25_35_portfolio_intelligence.js,v25_35_portfolio_intelligence.js,.js,68445,4d05bb5021df8ba9b310998fd339c8c02695e479df3b43b79882769f4471575d,
Revolut X/v25_agent_control_core.js,v25_agent_control_core.js,.js,75274,874b16b273eafc51faedb401e720fc827be49e322c3b928ad5a02ec75f13ccb7,
Revolut X/📈 QAIC Crypto - V25 DEV.xlsx,📈 QAIC Crypto - V25 DEV.xlsx,.xlsx,17289958,188857a800a38c990a25f51ef5dfb0b4303fce6504986743b308f6e07b1e1e6f,
synthese_lexique_mvp_crypto_project_context.md,synthese_lexique_mvp_crypto_project_context.md,.md,17156,e9fd284e9db77f3baad82fd2a51484a1d2ff4d8187ff09f4333643ac52fdbf2e,
