rel_path,name,classification,selected_archive_or_noise,protected_domain_or_hold,size_bytes,mtime_utc,sha256,hash_status
Revolut X/MVP QAIC — Mémo d’intégration Revolut X.pdf,MVP QAIC — Mémo d’intégration Revolut X.pdf,HOLD_REVIEW,False,True,235562,2026-06-16T12:00:54.587000+00:00,9bb61a5f3323cbb9298b1499cb70e9f0134f56349cdf365849d792fa6af35d76,OK
Revolut X/v25_17_portfolio_alpha_bridge.js,v25_17_portfolio_alpha_bridge.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,53332,2026-06-15T17:58:50.406000+00:00,e106536144c4e9b572447c51779e4de152e1b31e58b236d0b88f88ae55f1e936,OK
Revolut X/v25_20_portfolio_exposure_engine.js,v25_20_portfolio_exposure_engine.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,52497,2026-06-15T17:58:50.407000+00:00,7c015378af7790d0342cb84bc64feb960f64230b779f2c165a78b95e352ed86e,OK
Revolut X/v25_21_portfolio_risk_decision_engine.js,v25_21_portfolio_risk_decision_engine.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,60291,2026-06-15T17:58:50.410000+00:00,a6a185df12fbbf4f465a55877271e70e2fadb14a4a2555c229ae146c9c3dc7c2,OK
Revolut X/v25_22_portfolio_decision_control_center.js,v25_22_portfolio_decision_control_center.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,53736,2026-06-15T17:58:50.410000+00:00,b913e562ba03d9de23778b6d85d56707958e9b747726e48de0fcec274ce2c996,OK
Revolut X/v25_23_portfolio_execution_queue.js,v25_23_portfolio_execution_queue.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,43830,2026-06-15T17:58:50.410000+00:00,4aee5bb60237d1a447d085dbd3e6d5f3a27e552766e2b6b715e4b58a01044060,OK
Revolut X/v25_24_portfolio_pre_trade_guard.js,v25_24_portfolio_pre_trade_guard.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,36200,2026-06-15T17:58:50.410000+00:00,c860c436ee2d4eab5252384636a0c2a9b4ae99c6e25b8ebd3fea4354743ba88f,OK
Revolut X/v25_26_manual_order_lifecycle_tracker.js,v25_26_manual_order_lifecycle_tracker.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,36903,2026-06-15T17:58:50.414000+00:00,6e4753739c4afe5cd6c3e9b6abd31e58bbc7da2157ed615fe44305106da72007,OK
Revolut X/v25_30_revolut_x_readonly_connector.js,v25_30_revolut_x_readonly_connector.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,249728,2026-06-15T17:58:50.419000+00:00,4c67696ef7cdc82b5f03b063854191f0340a0a723954798d1afd64957af8e364,OK
Revolut X/v25_35_portfolio_intelligence.js,v25_35_portfolio_intelligence.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,68445,2026-06-15T17:58:50.423000+00:00,4d05bb5021df8ba9b310998fd339c8c02695e479df3b43b79882769f4471575d,OK
Revolut X/v25_agent_control_core.js,v25_agent_control_core.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,75274,2026-06-15T17:58:50.446000+00:00,874b16b273eafc51faedb401e720fc827be49e322c3b928ad5a02ec75f13ccb7,OK
Revolut X/📈 QAIC Crypto - V25 DEV.xlsx,📈 QAIC Crypto - V25 DEV.xlsx,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,False,True,17289958,2026-06-16T12:12:12.348000+00:00,188857a800a38c990a25f51ef5dfb0b4303fce6504986743b308f6e07b1e1e6f,OK
